LABEL,POSITION_T,Mean ch1
Label,T,Mean ch1
,(sec),(counts)
ID2001,0.0,306.1904761904762
ID3157,0.0,330.6666666666667
ID4170,0.0,281.3809523809524
ID5774,0.0,437.3809523809524
ID6597,0.0,299.9047619047619
ID7975,0.0,245.47619047619048
ID2062,1.0,272.4761904761905
ID3163,1.0,302.0952380952381
ID4176,1.0,289.14285714285717
ID5780,1.0,410.76190476190476
ID6602,1.0,296.7142857142857
ID7979,1.0,239.47619047619048
ID2067,2.0,281.85714285714283
ID3166,2.0,326.0
ID4182,2.0,302.1904761904762
ID5783,2.0,455.0952380952381
ID6605,2.0,318.1904761904762
ID7985,2.0,227.04761904761904
ID2070,3.0,283.6666666666667
ID3168,3.0,319.5238095238095
ID4189,3.0,287.76190476190476
ID5785,3.0,459.14285714285717
ID6608,3.0,798.5238095238095
ID7989,3.0,733.6666666666666
ID2073,4.0,289.4761904761905
ID3172,4.0,320.2857142857143
ID4193,4.0,268.0952380952381
ID5787,4.0,448.85714285714283
ID6612,4.0,675.3809523809524
ID7994,4.0,709.6190476190476
ID2076,5.0,304.76190476190476
ID3177,5.0,344.9047619047619
ID4197,5.0,303.42857142857144
ID5789,5.0,457.0952380952381
ID6616,5.0,547.8095238095239
ID7996,5.0,618.8571428571429
ID2079,6.0,285.04761904761904
ID3179,6.0,344.0
ID4203,6.0,285.9047619047619
ID5792,6.0,452.4761904761905
ID6620,6.0,457.42857142857144
ID7998,6.0,471.6190476190476
ID2082,7.0,309.7142857142857
ID3181,7.0,358.85714285714283
ID4207,7.0,312.3809523809524
ID5794,7.0,481.2857142857143
ID6624,7.0,347.85714285714283
ID8000,7.0,438.23809523809524
ID2086,8.0,360.85714285714283
ID3185,8.0,404.8095238095238
ID4212,8.0,303.6190476190476
ID5796,8.0,496.5238095238095
ID6630,8.0,356.3809523809524
ID8002,8.0,399.7142857142857
ID2090,9.0,332.7142857142857
ID3188,9.0,419.42857142857144
ID4216,9.0,284.9047619047619
ID5798,9.0,470.3809523809524
ID6636,9.0,385.3809523809524
ID8004,9.0,385.3809523809524
ID2095,10.0,341.42857142857144
ID3190,10.0,421.3333333333333
ID4221,10.0,287.5238095238095
ID5800,10.0,477.7142857142857
ID6639,10.0,383.6666666666667
ID8007,10.0,383.6666666666667
ID2098,11.0,1227.7142857142858
ID3194,11.0,1495.1904761904761
ID4225,11.0,306.85714285714283
ID5802,11.0,478.14285714285717
ID6642,11.0,384.5238095238095
ID8010,11.0,384.5238095238095
ID2101,12.0,947.952380952381
ID3196,12.0,1105.952380952381
ID4231,12.0,286.04761904761904
ID5804,12.0,472.0952380952381
ID6645,12.0,374.1904761904762
ID8013,12.0,374.1904761904762
ID2104,13.0,686.8571428571429
ID3198,13.0,779.3333333333334
ID4238,13.0,281.6190476190476
ID5806,13.0,457.7142857142857
ID6648,13.0,398.1904761904762
ID8016,13.0,398.1904761904762
ID2107,14.0,566.0
ID3200,14.0,620.3333333333334
ID4243,14.0,281.6190476190476
ID5808,14.0,436.6190476190476
ID6651,14.0,393.0952380952381
ID8019,14.0,393.0952380952381
ID2110,15.0,479.2857142857143
ID3203,15.0,532.8095238095239
ID4247,15.0,297.3809523809524
ID5810,15.0,437.23809523809524
ID6654,15.0,401.3809523809524
ID8022,15.0,401.3809523809524
ID2113,16.0,408.0
ID3205,16.0,448.8095238095238
ID4251,16.0,279.6190476190476
ID5812,16.0,422.42857142857144
ID6656,16.0,353.1904761904762
ID8024,16.0,353.1904761904762
ID2116,17.0,441.1904761904762
ID3208,17.0,484.23809523809524
ID4255,17.0,285.85714285714283
ID5814,17.0,437.95238095238096
ID6659,17.0,449.57142857142856
ID8027,17.0,449.57142857142856
ID2119,18.0,374.76190476190476
ID3210,18.0,422.57142857142856
ID4260,18.0,271.0
ID5817,18.0,422.0952380952381
ID6663,18.0,380.0952380952381
ID8031,18.0,380.0952380952381
ID2121,19.0,364.7142857142857
ID3213,19.0,416.0952380952381
ID4266,19.0,297.14285714285717
ID5819,19.0,432.9047619047619
ID6665,19.0,366.04761904761904
ID8033,19.0,366.04761904761904
ID2125,20.0,369.6190476190476
ID3217,20.0,422.0952380952381
ID4270,20.0,281.0
ID5822,20.0,458.42857142857144
ID6670,20.0,405.9047619047619
ID8038,20.0,405.9047619047619
ID2130,21.0,348.6666666666667
ID3220,21.0,395.6666666666667
ID4275,21.0,290.57142857142856
ID5825,21.0,459.6666666666667
ID6673,21.0,378.23809523809524
ID8041,21.0,378.23809523809524
ID2134,22.0,327.9047619047619
ID3223,22.0,392.6190476190476
ID4279,22.0,273.23809523809524
ID5828,22.0,457.3809523809524
ID6676,22.0,347.04761904761904
ID8044,22.0,347.04761904761904
ID2137,23.0,359.8095238095238
ID3225,23.0,412.9047619047619
ID4283,23.0,298.3333333333333
ID5831,23.0,488.76190476190476
ID6679,23.0,346.0
ID8047,23.0,346.0
ID2142,24.0,1139.3809523809523
ID3229,24.0,1364.952380952381
ID4288,24.0,298.4761904761905
ID5834,24.0,495.6666666666667
ID6682,24.0,379.5238095238095
ID8050,24.0,379.5238095238095
ID2145,25.0,860.3333333333334
ID3231,25.0,966.2857142857143
ID4294,25.0,307.04761904761904
ID5837,25.0,492.95238095238096
ID6686,25.0,404.3809523809524
ID8054,25.0,404.3809523809524
ID2148,26.0,668.1428571428571
ID3233,26.0,739.2857142857143
ID4299,26.0,275.3333333333333
ID5839,26.0,485.2857142857143
ID6689,26.0,404.1904761904762
ID8057,26.0,404.1904761904762
ID2151,27.0,530.0952380952381
ID3235,27.0,542.1904761904761
ID4303,27.0,269.0952380952381
ID5841,27.0,474.0
ID6692,27.0,361.04761904761904
ID8060,27.0,361.04761904761904
ID2154,28.0,423.8095238095238
ID3238,28.0,420.1904761904762
ID4307,28.0,273.95238095238096
ID5843,28.0,427.6190476190476
ID6694,28.0,315.3809523809524
ID8062,28.0,315.3809523809524
ID2156,29.0,429.2857142857143
ID3244,29.0,439.6666666666667
ID4311,29.0,300.7142857142857
ID5845,29.0,470.2857142857143
ID6697,29.0,338.23809523809524
ID8065,29.0,338.23809523809524
ID2159,30.0,378.3333333333333
ID3248,30.0,400.7142857142857
ID4316,30.0,277.95238095238096
ID5848,30.0,440.3333333333333
ID6700,30.0,328.8095238095238
ID8068,30.0,328.8095238095238
ID2161,31.0,371.6666666666667
ID3252,31.0,424.3809523809524
ID4322,31.0,279.3333333333333
ID5850,31.0,488.6190476190476
ID6703,31.0,334.7142857142857
ID8071,31.0,334.7142857142857
ID2165,32.0,374.6190476190476
ID3255,32.0,400.57142857142856
ID4326,32.0,286.14285714285717
ID5852,32.0,481.9047619047619
ID6706,32.0,361.3809523809524
ID8074,32.0,361.3809523809524
ID2167,33.0,395.3809523809524
ID3258,33.0,401.9047619047619
ID4330,33.0,303.6666666666667
ID5854,33.0,486.95238095238096
ID6709,33.0,361.7142857142857
ID8077,33.0,361.7142857142857
ID2170,34.0,414.85714285714283
ID3263,34.0,423.85714285714283
ID4334,34.0,300.7142857142857
ID5857,34.0,475.04761904761904
ID6712,34.0,374.3809523809524
ID8080,34.0,374.3809523809524
ID2172,35.0,451.57142857142856
ID3266,35.0,446.57142857142856
ID4339,35.0,316.3333333333333
ID5859,35.0,476.14285714285717
ID6715,35.0,390.0
ID8083,35.0,390.0
ID2174,36.0,815.5714285714286
ID3271,36.0,820.4761904761905
ID4343,36.0,295.0952380952381
ID5862,36.0,479.3809523809524
ID6718,36.0,384.85714285714283
ID8086,36.0,384.85714285714283
ID2177,37.0,941.5714285714286
ID3277,37.0,1139.1904761904761
ID4349,37.0,303.04761904761904
ID5865,37.0,443.6666666666667
ID6721,37.0,339.8095238095238
ID8245,37.0,268.14285714285717
ID2180,38.0,717.5714285714286
ID3279,38.0,885.9047619047619
ID4355,38.0,304.04761904761904
ID5867,38.0,482.6190476190476
ID6724,38.0,364.23809523809524
ID8250,38.0,238.8095238095238
ID2183,39.0,511.3809523809524
ID3281,39.0,619.7142857142857
ID4359,39.0,270.57142857142856
ID5870,39.0,441.85714285714283
ID6727,39.0,329.0
ID8252,39.0,276.57142857142856
ID2186,40.0,501.6666666666667
ID3287,40.0,589.2380952380952
ID4363,40.0,281.3333333333333
ID5873,40.0,463.9047619047619
ID6731,40.0,347.85714285714283
ID8254,40.0,281.23809523809524
ID2189,41.0,490.0952380952381
ID3290,41.0,502.6666666666667
ID4367,41.0,279.9047619047619
ID5876,41.0,458.3809523809524
ID6733,41.0,1316.3809523809523
ID8258,41.0,1093.952380952381
ID2191,42.0,503.0952380952381
ID3294,42.0,491.57142857142856
ID4371,42.0,289.6190476190476
ID5879,42.0,460.0
ID6736,42.0,1082.6666666666667
ID8264,42.0,841.5238095238095
ID2194,43.0,938.0952380952381
ID3296,43.0,1264.0
ID4375,43.0,287.9047619047619
ID5882,43.0,473.6190476190476
ID6738,43.0,886.1904761904761
ID8267,43.0,638.1428571428571
ID2197,44.0,736.8095238095239
ID3298,44.0,922.6190476190476
ID4379,44.0,286.3333333333333
ID5885,44.0,465.9047619047619
ID6740,44.0,778.3809523809524
ID8270,44.0,540.1428571428571
ID2200,45.0,608.1428571428571
ID3300,45.0,710.3809523809524
ID4383,45.0,296.2857142857143
ID5887,45.0,484.95238095238096
ID6742,45.0,639.047619047619
ID8274,45.0,402.6666666666667
ID2203,46.0,534.9047619047619
ID3302,46.0,621.2857142857143
ID4387,46.0,289.14285714285717
ID5889,46.0,489.6190476190476
ID6744,46.0,570.8571428571429
ID8278,46.0,339.42857142857144
ID2206,47.0,448.0
ID3304,47.0,494.6190476190476
ID4391,47.0,270.6666666666667
ID5891,47.0,445.6190476190476
ID6746,47.0,455.6190476190476
ID8282,47.0,336.14285714285717
ID2209,48.0,485.0
ID3307,48.0,478.85714285714283
ID4395,48.0,276.2857142857143
ID5893,48.0,477.23809523809524
ID6748,48.0,506.42857142857144
ID8288,48.0,297.42857142857144
ID2212,49.0,410.0952380952381
ID3309,49.0,387.04761904761904
ID4399,49.0,290.23809523809524
ID5896,49.0,460.4761904761905
ID6750,49.0,486.6666666666667
ID8292,49.0,328.42857142857144
ID2214,50.0,451.23809523809524
ID3312,50.0,414.23809523809524
ID4403,50.0,266.4761904761905
ID5898,50.0,458.14285714285717
ID6752,50.0,444.6190476190476
ID8298,50.0,305.3809523809524
ID2216,51.0,462.4761904761905
ID3314,51.0,414.5238095238095
ID4407,51.0,282.76190476190476
ID5901,51.0,463.85714285714283
ID6755,51.0,406.04761904761904
ID8300,51.0,292.5238095238095
ID2218,52.0,464.0
ID3317,52.0,437.4761904761905
ID4411,52.0,287.0
ID5904,52.0,469.0
ID6758,52.0,416.1904761904762
ID8304,52.0,283.8095238095238
ID2220,53.0,500.04761904761904
ID3321,53.0,437.14285714285717
ID4416,53.0,281.2857142857143
ID5907,53.0,452.7142857142857
ID6761,53.0,420.3333333333333
ID8309,53.0,277.1904761904762
ID2222,54.0,560.4761904761905
ID3325,54.0,452.2857142857143
ID4420,54.0,293.7142857142857
ID5910,54.0,435.14285714285717
ID6763,54.0,1390.6666666666667
ID8313,54.0,1189.952380952381
ID2224,55.0,576.1428571428571
ID3329,55.0,465.57142857142856
ID4425,55.0,282.7142857142857
ID5913,55.0,464.14285714285717
ID6766,55.0,1287.952380952381
ID8316,55.0,884.7142857142857
ID2226,56.0,558.952380952381
ID3333,56.0,445.5238095238095
ID4431,56.0,280.5238095238095
ID5916,56.0,451.85714285714283
ID6768,56.0,1063.0
ID8319,56.0,632.5238095238095
ID2228,57.0,506.0
ID3336,57.0,439.42857142857144
ID4436,57.0,286.0
ID5919,57.0,457.4761904761905
ID6770,57.0,852.8095238095239
ID8322,57.0,452.23809523809524
ID2230,58.0,539.2380952380952
ID3340,58.0,461.04761904761904
ID4439,58.0,1184.3809523809523
ID5923,58.0,1442.047619047619
ID6772,58.0,755.7142857142857
ID8325,58.0,385.0952380952381
ID2232,59.0,497.7142857142857
ID3344,59.0,436.9047619047619
ID4443,59.0,880.1428571428571
ID5926,59.0,1292.2380952380952
ID6774,59.0,679.4285714285714
ID8328,59.0,297.85714285714283
ID2234,60.0,460.8095238095238
ID3348,60.0,426.42857142857144
ID4446,60.0,698.7619047619048
ID5928,60.0,1053.047619047619
ID6776,60.0,589.4761904761905
ID8331,60.0,261.3809523809524
ID2236,61.0,586.7142857142857
ID3352,61.0,581.6190476190476
ID4449,61.0,559.2380952380952
ID5930,61.0,801.1904761904761
ID6778,61.0,478.9047619047619
ID8334,61.0,250.47619047619048
ID2238,62.0,1018.8095238095239
ID3355,62.0,1323.142857142857
ID4452,62.0,476.57142857142856
ID5932,62.0,690.9047619047619
ID6781,62.0,463.85714285714283
ID8338,62.0,256.95238095238096
ID2241,63.0,752.2380952380952
ID3357,63.0,934.6666666666666
ID4455,63.0,410.6666666666667
ID5934,63.0,644.0
ID6784,63.0,440.57142857142856
ID8344,63.0,266.4761904761905
ID2244,64.0,607.3333333333334
ID3359,64.0,798.6190476190476
ID4459,64.0,367.1904761904762
ID5936,64.0,570.6666666666666
ID6786,64.0,1426.857142857143
ID8347,64.0,989.5238095238095
ID2247,65.0,668.047619047619
ID3362,65.0,842.9047619047619
ID4463,65.0,317.0
ID5938,65.0,543.0952380952381
ID6789,65.0,1174.7142857142858
ID8350,65.0,673.1904761904761
ID2250,66.0,597.5238095238095
ID3364,66.0,684.7619047619048
ID4467,66.0,313.9047619047619
ID5941,66.0,514.047619047619
ID6791,66.0,949.9047619047619
ID8353,66.0,535.5714285714286
ID2253,67.0,569.9047619047619
ID3366,67.0,687.3809523809524
ID4471,67.0,317.2857142857143
ID5944,67.0,509.2857142857143
ID6793,67.0,834.5238095238095
ID8356,67.0,458.1904761904762
ID2256,68.0,1105.4761904761904
ID3369,68.0,1393.2857142857142
ID4475,68.0,304.4761904761905
ID5947,68.0,508.8095238095238
ID6795,68.0,730.2380952380952
ID8360,68.0,345.04761904761904
ID2259,69.0,898.1428571428571
ID3371,69.0,1182.2380952380952
ID4479,69.0,313.14285714285717
ID5949,69.0,489.3333333333333
ID6797,69.0,630.9047619047619
ID8363,69.0,310.1904761904762
ID2262,70.0,667.3333333333334
ID3373,70.0,931.4761904761905
ID4484,70.0,278.8095238095238
ID5952,70.0,433.85714285714283
ID6799,70.0,490.95238095238096
ID8366,70.0,296.85714285714283
ID2265,71.0,601.5714285714286
ID3375,71.0,865.5238095238095
ID4490,71.0,276.0952380952381
ID5954,71.0,426.6666666666667
ID6802,71.0,476.4761904761905
ID8370,71.0,278.0
ID2268,72.0,571.1428571428571
ID3377,72.0,925.4285714285714
ID4494,72.0,287.4761904761905
ID5957,72.0,430.57142857142856
ID6805,72.0,423.7142857142857
ID8376,72.0,294.3333333333333
ID2271,73.0,520.0952380952381
ID3379,73.0,824.047619047619
ID4498,73.0,295.04761904761904
ID5960,73.0,449.8095238095238
ID6808,73.0,407.0952380952381
