LABEL,FRAME,Mean ch1
Label,Frame,Mean ch1
,,(counts)
ID12462,0.0,477.56756756756755
ID17228,0.0,618.2702702702703
ID13347,0.0,650.2162162162163
ID18033,0.0,461.5945945945946
ID14126,0.0,520.1621621621622
ID15483,0.0,524.1891891891892
ID11665,0.0,549.3783783783783
ID16272,0.0,402.8918918918919
ID12465,1.0,466.3783783783784
ID17234,1.0,576.5135135135135
ID13353,1.0,637.8648648648649
ID18038,1.0,485.3783783783784
ID14130,1.0,503.3783783783784
ID15487,1.0,670.0
ID11671,1.0,549.4054054054054
ID16275,1.0,484.1081081081081
ID12468,2.0,453.7027027027027
ID17236,2.0,552.027027027027
ID13355,2.0,581.0540540540541
ID18041,2.0,472.97297297297297
ID14134,2.0,455.6216216216216
ID15489,2.0,654.081081081081
ID11673,2.0,549.972972972973
ID16278,2.0,472.35135135135135
ID12471,3.0,421.27027027027026
ID17238,3.0,490.13513513513516
ID13357,3.0,508.4054054054054
ID18044,3.0,445.4864864864865
ID14136,3.0,444.4864864864865
ID15491,3.0,550.2162162162163
ID11675,3.0,481.43243243243245
ID16281,3.0,410.02702702702703
ID12474,4.0,450.4864864864865
ID17241,4.0,534.6756756756756
ID13359,4.0,616.7027027027027
ID18047,4.0,477.5405405405405
ID14140,4.0,442.02702702702703
ID15494,4.0,588.6216216216217
ID11678,4.0,551.8918918918919
ID16284,4.0,440.7837837837838
ID12477,5.0,429.56756756756755
ID17243,5.0,496.86486486486484
ID13361,5.0,527.8108108108108
ID18050,5.0,451.86486486486484
ID14143,5.0,422.0810810810811
ID15496,5.0,529.8648648648649
ID11680,5.0,481.8378378378378
ID16287,5.0,393.0810810810811
ID12479,6.0,528.2702702702703
ID17246,6.0,530.3513513513514
ID13363,6.0,604.4324324324324
ID18053,6.0,471.27027027027026
ID14146,6.0,441.43243243243245
ID15498,6.0,695.2702702702703
ID11683,6.0,634.1891891891892
ID16290,6.0,471.64864864864865
ID12482,7.0,475.86486486486484
ID17248,7.0,498.8378378378378
ID13365,7.0,533.2432432432432
ID18056,7.0,454.3243243243243
ID14150,7.0,419.86486486486484
ID15500,7.0,563.1081081081081
ID11685,7.0,560.4324324324324
ID16293,7.0,403.6756756756757
ID12485,8.0,466.1621621621622
ID17250,8.0,502.4594594594595
ID13367,8.0,527.7297297297297
ID18059,8.0,467.0
ID14153,8.0,423.0
ID15502,8.0,599.081081081081
ID11687,8.0,542.2972972972973
ID16296,8.0,458.6756756756757
ID12488,9.0,527.918918918919
ID17253,9.0,511.4594594594595
ID13369,9.0,616.0
ID18062,9.0,458.8378378378378
ID14156,9.0,516.8378378378378
ID15504,9.0,580.7837837837837
ID11689,9.0,619.1621621621622
ID16299,9.0,441.1081081081081
ID12491,10.0,495.94594594594594
ID17255,10.0,508.8918918918919
ID13371,10.0,597.3513513513514
ID18065,10.0,460.6216216216216
ID14160,10.0,478.0
ID15506,10.0,576.3243243243244
ID11691,10.0,584.3243243243244
ID16302,10.0,433.13513513513516
ID12494,11.0,471.97297297297297
ID17258,11.0,515.4324324324324
ID13373,11.0,605.2702702702703
ID18068,11.0,460.5945945945946
ID14163,11.0,492.56756756756755
ID15508,11.0,542.8378378378378
ID11693,11.0,560.8918918918919
ID16305,11.0,417.35135135135135
ID12497,12.0,463.05405405405406
ID17260,12.0,521.5405405405405
ID13375,12.0,574.7297297297297
ID18071,12.0,458.4594594594595
ID14166,12.0,450.8378378378378
ID15510,12.0,538.027027027027
ID11695,12.0,537.1351351351351
ID16308,12.0,407.9189189189189
ID12500,13.0,456.8378378378378
ID17262,13.0,504.8378378378378
ID13377,13.0,564.2432432432432
ID18074,13.0,453.02702702702703
ID14169,13.0,473.0
ID15512,13.0,527.1891891891892
ID11697,13.0,533.9459459459459
ID16311,13.0,404.05405405405406
ID12503,14.0,458.8918918918919
ID17264,14.0,520.3243243243244
ID13379,14.0,569.9459459459459
ID18077,14.0,453.3243243243243
ID14172,14.0,476.13513513513516
ID15514,14.0,514.3513513513514
ID11699,14.0,525.3243243243244
ID16313,14.0,403.43243243243245
ID12506,15.0,512.9459459459459
ID17266,15.0,512.4864864864865
ID13381,15.0,552.4864864864865
ID18080,15.0,448.8378378378378
ID14175,15.0,468.8918918918919
ID15516,15.0,591.027027027027
ID11702,15.0,613.0
ID16316,15.0,475.8378378378378
ID12509,16.0,487.72972972972974
ID17268,16.0,529.081081081081
ID13383,16.0,560.4594594594595
ID18083,16.0,452.5135135135135
ID14178,16.0,458.81081081081084
ID15518,16.0,583.972972972973
ID11704,16.0,586.6216216216217
ID16319,16.0,428.5135135135135
ID12512,17.0,473.0
ID17270,17.0,522.6756756756756
ID13385,17.0,556.8378378378378
ID18087,17.0,456.2162162162162
ID14181,17.0,424.81081081081084
ID15520,17.0,553.7297297297297
ID11706,17.0,562.4324324324324
ID16322,17.0,419.5945945945946
ID12515,18.0,467.2432432432432
ID17272,18.0,520.0
ID13387,18.0,559.4864864864865
ID18090,18.0,457.02702702702703
ID14184,18.0,465.13513513513516
ID15522,18.0,571.081081081081
ID11708,18.0,542.0
ID16325,18.0,446.5405405405405
ID12518,19.0,512.6486486486486
ID17274,19.0,515.0
ID13389,19.0,576.4324324324324
ID18093,19.0,448.0810810810811
ID14187,19.0,457.8918918918919
ID15524,19.0,549.6216216216217
ID11710,19.0,615.2432432432432
ID16327,19.0,413.64864864864865
ID12521,20.0,500.7837837837838
ID17276,20.0,465.9189189189189
ID13391,20.0,512.5405405405405
ID18096,20.0,432.3243243243243
ID14189,20.0,458.6216216216216
ID15526,20.0,480.94594594594594
ID11712,20.0,524.1081081081081
ID16330,20.0,364.43243243243245
ID12523,21.0,542.5135135135135
ID17279,21.0,527.3243243243244
ID13393,21.0,623.9459459459459
ID18098,21.0,458.3243243243243
ID14193,21.0,505.2972972972973
ID15528,21.0,552.6216216216217
ID11715,21.0,660.3513513513514
ID16333,21.0,429.0
ID12531,22.0,470.0
ID17281,22.0,501.7027027027027
ID13395,22.0,530.7567567567568
ID18101,22.0,452.2972972972973
ID14196,22.0,473.27027027027026
ID15530,22.0,533.8648648648649
ID11717,22.0,553.5675675675676
ID16336,22.0,397.5135135135135
ID17283,23.0,542.2702702702703
ID13341,23.0,489.9189189189189
ID13397,23.0,611.3783783783783
ID18104,23.0,463.9189189189189
ID14199,23.0,482.1621621621622
ID15532,23.0,563.4864864864865
ID11720,23.0,596.6486486486486
ID16339,23.0,435.1621621621622
ID12533,24.0,437.35135135135135
ID17285,24.0,488.8918918918919
ID13399,24.0,523.1351351351351
ID18107,24.0,440.8378378378378
ID14202,24.0,441.35135135135135
ID15534,24.0,495.3783783783784
ID11722,24.0,512.7837837837837
ID16341,24.0,382.02702702702703
ID12535,25.0,447.1081081081081
ID17287,25.0,486.56756756756755
ID13401,25.0,526.1351351351351
ID18110,25.0,456.8918918918919
ID14205,25.0,463.2972972972973
ID15536,25.0,494.3783783783784
ID11724,25.0,526.1891891891892
ID16344,25.0,380.81081081081084
ID12537,26.0,442.2972972972973
ID17290,26.0,490.35135135135135
ID13403,26.0,529.5945945945946
ID18113,26.0,428.8918918918919
ID14208,26.0,439.43243243243245
ID15538,26.0,566.918918918919
ID11726,26.0,507.8918918918919
ID16347,26.0,444.7567567567568
ID12539,27.0,476.4594594594595
ID17293,27.0,516.1891891891892
ID13406,27.0,584.9459459459459
ID18116,27.0,445.81081081081084
ID14211,27.0,473.8378378378378
ID15541,27.0,603.4864864864865
ID11729,27.0,553.3783783783783
ID16350,27.0,452.13513513513516
ID12543,28.0,483.13513513513516
ID17295,28.0,527.972972972973
ID13408,28.0,599.4324324324324
ID18119,28.0,467.6756756756757
ID14214,28.0,423.72972972972974
ID15543,28.0,574.5675675675676
ID11732,28.0,558.5675675675676
ID16353,28.0,446.1621621621622
ID12546,29.0,435.7567567567568
ID17297,29.0,609.4864864864865
ID13410,29.0,526.972972972973
ID18122,29.0,518.8378378378378
ID14217,29.0,425.27027027027026
ID15545,29.0,500.3243243243243
ID11734,29.0,490.2972972972973
ID16356,29.0,388.1621621621622
ID12548,30.0,464.13513513513516
ID17300,30.0,620.4594594594595
ID13412,30.0,598.6756756756756
ID18125,30.0,509.7027027027027
ID14221,30.0,424.5405405405405
ID15547,30.0,540.0540540540541
ID11737,30.0,542.2972972972973
ID16359,30.0,414.8918918918919
ID12550,31.0,422.02702702702703
ID17302,31.0,523.8378378378378
ID13414,31.0,505.7027027027027
ID18128,31.0,467.5405405405405
ID14224,31.0,439.3243243243243
ID15549,31.0,533.7837837837837
ID11739,31.0,478.7027027027027
ID16361,31.0,417.8918918918919
ID12552,32.0,436.6756756756757
ID17304,32.0,523.4054054054054
ID13416,32.0,549.0
ID18131,32.0,451.2162162162162
ID14227,32.0,454.43243243243245
ID15551,32.0,528.7297297297297
ID11741,32.0,497.72972972972974
ID16364,32.0,427.6216216216216
ID12555,33.0,429.1621621621622
ID17306,33.0,579.4054054054054
ID13418,33.0,540.4594594594595
ID18134,33.0,474.3783783783784
ID14230,33.0,433.56756756756755
ID15553,33.0,509.05405405405406
ID11743,33.0,499.3243243243243
ID16366,33.0,406.6216216216216
ID12557,34.0,512.7567567567568
ID17308,34.0,541.1081081081081
ID13420,34.0,541.972972972973
ID18137,34.0,463.5405405405405
ID14233,34.0,449.2972972972973
ID15555,34.0,505.8918918918919
ID11745,34.0,607.972972972973
ID16369,34.0,395.05405405405406
ID12559,35.0,514.918918918919
ID17311,35.0,573.7297297297297
ID13422,35.0,716.2162162162163
ID18140,35.0,451.2432432432432
ID14236,35.0,542.5945945945946
ID15557,35.0,531.2702702702703
ID11747,35.0,613.8918918918919
ID16371,35.0,419.6216216216216
ID12561,36.0,453.35135135135135
ID17313,36.0,488.5405405405405
ID13424,36.0,598.1081081081081
ID18143,36.0,451.7837837837838
ID14238,36.0,461.8378378378378
ID15559,36.0,467.7837837837838
ID11750,36.0,456.94594594594594
ID16373,36.0,361.5945945945946
ID12563,37.0,470.43243243243245
ID17316,37.0,518.3243243243244
ID13426,37.0,632.8648648648649
