Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,1,269,139,59,54,17,-156,19.665895,20.368168,5.473500,19.228630,5.534977,33,53,0.616279,-26.870073,14.961924,22.378788,21.084906,0.758029,0.765877,0.884523,0.859120,0.429755,0.507062,0.593023,0.494098,0.028779,-1,1 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,2,34,14,7,10,3,2,10.668793,9.567623,5.521606,12.137019,4.863973,4,3,0.428571,-1.746399,2.583656,19.375000,17.166667,0.432721,0.489822,0.911469,0.699472,0.421109,0.522889,0.580645,0.502893,-0.118380,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,3,2,2,0,0,0,-2,3.025260,0.000000,0.000000,3.025260,0.003052,0,2,1.000000,-1.953719,0.000000,0.000000,36.000000,0.000000,0.000501,0.000000,0.007344,0.000000,0.630625,0.578947,0.504256,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,4,192,88,42,48,14,-106,21.177555,16.333235,3.173420,24.994291,5.120635,26,33,0.559322,-15.400065,9.548176,16.192308,25.636364,0.796373,0.788865,0.894790,0.859537,0.490903,0.519167,0.538961,0.448992,-0.209571,-1,1 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,5,76,42,15,16,3,30,12.444810,14.355165,5.869611,9.101692,4.306458,7,4,0.363636,-3.216406,4.436413,19.000000,10.000000,0.649366,0.665939,0.932636,0.803748,0.473054,0.413524,0.539394,0.446798,0.223963,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,6,43,26,11,5,1,-8,5.485387,6.209914,2.720801,4.967867,1.995483,5,7,0.583333,-3.629768,3.162163,16.700000,16.071429,0.321175,0.239747,0.612786,0.545053,0.426224,0.476736,0.542373,0.444876,0.111117,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,7,199,75,59,49,16,-98,28.348352,34.248100,8.717699,23.993769,8.590320,31,42,0.575342,-23.986832,14.092748,34.516129,23.583333,0.855238,0.871940,0.888641,0.918960,0.478274,0.522256,0.564000,0.469440,0.176065,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,8,197,97,63,31,6,-167,10.916532,7.047961,1.980879,12.960305,4.506794,28,53,0.654321,-29.806335,14.250953,15.267857,18.716981,0.355271,0.563868,0.675979,0.829095,0.438948,0.500732,0.586103,0.470287,-0.295495,-1,1 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,9,252,106,65,58,23,-225,20.854826,21.336468,3.861369,20.483564,7.126450,37,48,0.564706,-21.689377,14.473521,23.729730,22.989583,0.727251,0.759894,0.928895,0.938490,0.480007,0.480172,0.579327,0.476801,0.020395,-1,1 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,10,141,66,26,36,13,-100,29.020166,31.480791,8.307754,27.028236,11.039487,17,21,0.552632,-12.630031,8.802395,25.764706,24.500000,0.861100,0.902845,0.846612,0.868565,0.472407,0.507522,0.581498,0.480769,0.076100,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,11,2,2,0,0,0,0,1.860556,1.860556,1.309570,0.000000,0.000000,1,0,0.000000,0.000000,0.789462,10.000000,0.000000,0.165158,0.000000,0.887680,0.000000,0.549824,0.000000,0.580220,0.481962,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,12,51,26,13,8,4,-187,39.734299,35.629997,9.456458,41.599892,11.389371,10,22,0.687500,-10.612493,4.021685,34.600000,40.909091,0.873167,0.903059,0.897777,0.932967,0.586820,0.506452,0.579055,0.462142,-0.077300,-1,1 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,13,89,50,20,14,5,-98,20.711678,29.373915,5.519704,16.380560,6.216024,12,24,0.666667,-15.528935,2.742411,36.333333,24.187500,0.659776,0.511401,0.857923,0.834924,0.501210,0.511006,0.579350,0.458297,0.283980,0,0 
Z:\Malcom\Behavior\Analysis\240325_N2_ola375_inx1gk_Tc15\240325_ola375_rep2_Tc15_16_24\240325_ola375_rep2_Tc15_16_24_w1a_tracks.bin,14,52,12,24,12,4,-25,31.354797,29.234709,6.672974,32.885971,5.851583,13,18,0.580645,-7.602179,6.396030,26.576923,28.500000,0.931092,0.917055,0.937821,0.898893,0.511821,0.501466,0.570397,0.457031,-0.058777,0,0 
