Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,1,108,82,2,23,1,-251,12.366394,13.504486,2.605492,12.041224,8.545142,8,28,0.777778,-20.233101,3.653472,16.625000,15.035714,0.605024,0.717503,0.851049,0.911952,0.614504,0.552407,0.694444,0.647884,0.057280,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,2,1,1,0,0,0,0,4.166495,4.166495,0.221191,0.000000,0.000000,1,0,0.000000,0.000000,0.781944,83.000000,0.000000,0.003480,0.000000,0.069331,0.000000,0.520607,0.000000,0.702703,0.641541,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,3,9,8,1,0,0,-7,37.538956,0.000000,0.000000,37.538956,6.842163,0,1,1.000000,-0.843655,0.000000,0.000000,100.500000,0.000000,0.080571,0.000000,0.215706,0.000000,0.489160,0.710526,0.655344,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,4,205,145,24,32,4,-237,15.362725,17.763109,3.947261,13.957623,7.688366,24,41,0.630769,-24.559944,12.841453,29.020833,25.853659,0.489589,0.492330,0.912074,0.869711,0.489905,0.501133,0.631068,0.540388,0.119968,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,5,60,46,3,11,0,-203,50.331127,73.001823,14.051208,42.774223,14.184587,6,18,0.750000,-10.279636,3.471545,66.833333,40.583333,0.626316,0.761165,0.561929,0.846589,0.478339,0.421573,0.645669,0.636731,0.261087,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,6,76,55,1,19,1,-422,32.031750,17.471613,7.120416,38.362247,22.086991,10,23,0.696970,-14.666873,5.629132,15.150000,31.869565,1.175715,1.067391,0.942683,0.913298,0.553529,0.538297,0.618750,0.587453,-0.374157,-2,2 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,7,134,89,8,31,6,-239,19.597166,30.236473,5.537710,17.395929,9.712194,6,29,0.828571,-19.392513,1.992560,36.583333,27.379310,0.686189,0.587573,0.872756,0.891599,0.406863,0.493360,0.646154,0.576274,0.269576,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,8,107,72,15,17,3,-375,27.681290,12.977850,5.526575,44.706326,27.084630,22,19,0.463415,-12.543081,13.877271,22.840909,64.526316,0.472826,0.487872,0.854164,0.816359,0.533324,0.581687,0.597458,0.569197,-0.550038,-2,2 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,9,1,0,1,0,0,0,7.599674,0.000000,0.000000,7.599674,0.496338,0,1,1.000000,-0.444505,0.000000,0.000000,54.500000,0.000000,0.023071,0.000000,0.165452,0.000000,0.447218,0.594937,0.570776,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,10,1,1,0,0,0,0,4.283588,4.283588,0.291992,0.000000,0.000000,1,0,0.000000,0.000000,0.994549,68.000000,0.000000,0.004296,0.000000,0.068201,0.000000,0.879453,0.000000,0.592437,0.572759,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,11,55,40,6,7,2,-109,17.930798,4.736580,2.513794,21.229355,9.451187,2,8,0.800000,-4.339885,1.040963,6.250000,25.187500,0.810219,0.696695,1.023267,0.829796,0.503671,0.488379,0.592742,0.580972,-0.635170,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,12,54,41,7,6,0,-174,11.797368,3.708223,1.874561,14.325226,10.977135,5,16,0.761905,-11.876275,2.850537,13.200000,25.093750,0.198366,0.468036,0.485054,0.812489,0.466769,0.518742,0.605948,0.578885,-0.588739,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,13,54,38,11,5,0,-29,16.129179,22.581999,7.615247,11.827299,6.768693,10,15,0.600000,-8.045484,4.266511,31.450000,21.366667,0.507884,0.511285,0.762822,0.836411,0.431023,0.536862,0.608844,0.577434,0.312552,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_N2_Tc15_16_24\240331_N2_Tc15_16_24_w1a_tracks.bin,14,5,4,0,1,0,78,94.513145,94.513145,34.343791,0.000000,0.000000,3,0,0.000000,0.000000,2.121987,96.166667,0.000000,0.653513,0.000000,0.669735,0.000000,0.404816,0.000000,0.602694,0.551940,1.000000,0,0 
