Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,1,222,102,41,57,22,-199,28.189041,28.167505,5.496224,28.202787,7.209623,30,47,0.610390,-24.753927,9.199732,29.433333,31.351064,0.844042,0.711399,0.920040,0.916737,0.506487,0.512118,0.558442,0.461664,-0.000626,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,2,127,65,26,26,10,-211,41.083984,27.524008,6.224117,46.507977,7.724491,14,35,0.714286,-11.331764,5.771916,27.214286,44.885714,0.819461,0.870325,0.884729,0.900902,0.511001,0.486542,0.579365,0.542930,-0.256429,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,3,195,110,42,37,6,-145,36.746620,32.557201,6.508755,41.275719,10.707910,40,37,0.480519,-18.629742,14.919197,28.737500,35.918919,0.990478,0.910338,0.922082,0.864115,0.464021,0.511040,0.556650,0.533624,-0.118084,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,4,43,26,7,9,1,-79,24.164721,16.254404,6.360718,30.944990,13.690901,6,7,0.538462,-4.825773,3.493114,18.083333,27.500000,0.664100,0.957827,0.971105,0.922736,0.543628,0.475773,0.555556,0.539138,-0.311245,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,5,182,91,48,33,10,-218,33.633114,27.383474,6.161987,38.412247,7.447463,26,34,0.566667,-15.476644,10.559637,23.788462,36.191176,1.040128,0.781272,0.915605,0.879130,0.527950,0.495770,0.572464,0.554231,-0.167621,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,6,77,49,7,13,8,-240,38.575230,17.831038,5.624654,46.354301,16.537163,6,16,0.727273,-10.727608,2.324155,17.500000,44.000000,0.911787,0.870822,0.917348,0.891698,0.506471,0.440557,0.583893,0.566180,-0.444389,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,7,137,41,46,34,16,-245,32.452545,32.287670,5.449539,32.561016,10.971047,25,38,0.603175,-15.895305,9.918254,38.700000,34.118421,0.714326,0.838654,0.909270,0.952168,0.491756,0.522002,0.581717,0.556566,-0.004215,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,8,1,1,0,0,0,0,5.456077,5.456077,0.359375,0.000000,0.000000,1,0,0.000000,0.000000,0.149354,43.500000,0.000000,0.041115,0.000000,0.327798,0.000000,0.527068,0.000000,0.580110,0.557892,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,9,165,72,31,40,22,-249,45.001099,40.428032,6.243020,47.795746,10.050184,22,36,0.620690,-14.256532,5.692393,41.000000,45.166667,0.923066,0.880574,0.965516,0.941305,0.488518,0.480189,0.580952,0.540931,-0.083512,-1,1 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,10,5,2,1,2,0,0,16.630430,8.714576,2.774028,28.504213,2.999329,3,2,0.400000,-0.239289,2.311496,73.500000,36.250000,0.032968,0.567567,0.301720,0.550083,0.526698,0.371334,0.581176,0.542509,-0.531711,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,11,3,3,0,0,0,-1,4.132331,0.000000,0.000000,4.132331,1.135803,0,2,1.000000,-1.425481,0.000000,0.000000,32.500000,0.000000,0.037907,0.000000,0.270258,0.000000,0.501694,0.580796,0.542773,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,12,1,1,0,0,0,0,6.545718,6.545718,0.169189,0.000000,0.000000,1,0,0.000000,0.000000,0.340296,55.500000,0.000000,0.007207,0.000000,0.061104,0.000000,0.691106,0.000000,0.579439,0.543868,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240331_N2_ola375_Tc15\240331_ola375_Tc15_rep2_16_24\240331_ola375_Tc15_rep2_16_24_w1a_tracks.bin,13,133,61,53,15,4,-127,14.293343,13.734248,2.744751,14.598304,3.161976,24,44,0.647059,-25.758736,11.267559,24.083333,24.386364,0.501027,0.413957,0.849580,0.889922,0.486356,0.507557,0.586694,0.531823,-0.030497,-1,1 
