Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,1,203,152,19,29,3,-275,30.705770,31.727301,14.262536,30.132717,13.394128,23,41,0.640625,-29.003855,14.047731,35.739130,30.865854,0.727684,0.701429,0.876809,0.848694,0.478820,0.494687,0.656250,0.465621,0.025777,-1,1 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,2,2,2,0,0,0,1,14.600737,14.600737,0.446899,0.000000,0.000000,1,0,0.000000,0.000000,0.273326,261.500000,0.000000,0.006967,0.000000,0.124773,0.000000,0.443138,0.000000,0.661538,0.462710,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,3,2,2,0,0,0,30,26.059031,0.000000,0.000000,26.059031,0.568604,0,1,1.000000,-0.993988,0.000000,0.000000,217.500000,0.000000,0.002711,0.000000,0.022631,0.000000,0.550243,0.666667,0.462157,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,4,1,1,0,0,0,1,3.012364,0.915155,0.198364,5.109573,0.673096,1,1,0.500000,-0.312983,0.825027,6.500000,45.500000,0.045786,0.041203,0.325201,0.366910,0.111396,0.801178,0.661765,0.466086,-0.696200,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,5,6,4,0,1,1,-2,8.321249,0.000000,0.000000,8.321249,3.067993,0,1,1.000000,-0.991031,0.000000,0.000000,26.000000,0.000000,0.120044,0.000000,0.375081,0.000000,0.486896,0.666667,0.462246,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,6,1,1,0,0,0,0,10.661188,0.000000,0.000000,10.661188,1.233887,0,1,1.000000,-0.378419,0.000000,0.000000,116.500000,0.000000,0.030894,0.000000,0.337589,0.000000,0.334802,0.671429,0.458968,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,7,62,46,9,7,0,-317,20.279066,10.036926,3.672766,22.717672,14.823980,5,21,0.807692,-15.534357,2.044358,11.500000,26.000000,0.916185,0.805749,0.969488,0.909505,0.434960,0.468550,0.718750,0.468272,-0.387144,-2,2 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,8,118,90,16,10,2,-324,37.961433,38.428917,10.197125,37.649780,18.191337,20,30,0.600000,-20.842968,7.172791,38.625000,39.500000,0.824152,0.782509,0.886051,0.860798,0.534590,0.509850,0.650685,0.448255,0.010241,-2,2 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,9,4,2,1,1,0,112,4.719404,4.719404,1.874023,0.000000,0.000000,1,0,0.000000,0.000000,0.999124,52.500000,0.000000,0.035714,0.000000,0.397293,0.000000,0.395570,0.000000,0.653061,0.446100,1.000000,1,1 
Z:\Malcom\Behavior\Analysis\240508_N2_ola375DCR5281het_Tc15_16_24\240508_N2_Tc15_16_24\240508_N2_Tc15_16_24_w1a_tracks.bin,10,1,0,0,1,0,-1,3.302548,0.000000,0.000000,3.302548,0.475464,0,2,1.000000,-1.999491,0.000000,0.000000,30.500000,0.000000,0.024309,0.000000,0.209596,0.000000,0.300488,0.657718,0.441616,-1.000000,0,0 
