Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,1,1,1,0,0,0,0,11.560557,11.560557,0.401001,0.000000,0.000000,1,0,0.000000,0.000000,0.763576,55.500000,0.000000,0.008265,0.000000,0.039680,0.000000,0.322998,0.000000,0.000000,0.000000,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,2,1,1,0,0,0,0,1.937189,2.186468,0.240417,1.687909,0.271973,1,1,0.500000,-0.706590,0.965996,18.000000,9.500000,0.014476,0.060842,0.119171,0.342433,0.673183,0.270610,0.333333,0.197153,0.128681,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,3,188,104,33,36,15,-33,11.683170,12.710615,2.436785,10.853311,2.716102,21,26,0.553191,-9.644516,9.795554,20.571429,13.346154,0.519832,0.719434,0.783935,0.970186,0.535020,0.488296,0.500000,0.516448,0.078820,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,4,179,111,19,41,8,-49,16.506941,19.184832,2.296134,15.121825,3.105195,15,29,0.659091,-12.848384,4.445642,19.933333,14.896552,0.731194,0.794983,0.889997,0.849191,0.514148,0.485600,0.553191,0.477852,0.118432,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,5,16,14,0,2,0,-11,8.167172,5.712494,0.028564,8.985398,1.276204,1,3,0.750000,-0.515785,0.026053,6.000000,11.500000,0.713385,0.765752,0.749289,0.954313,0.498212,0.530830,0.571429,0.470979,-0.222678,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,6,1,1,0,0,0,0,1.716460,1.716460,0.087524,0.000000,0.000000,1,0,0.000000,0.000000,0.593906,8.500000,0.000000,0.013879,0.000000,0.068730,0.000000,0.191283,0.000000,0.575758,0.467165,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,7,22,20,2,0,0,-18,19.452639,11.483704,1.723755,27.421574,4.036102,4,4,0.500000,-0.877977,1.219924,9.375000,19.625000,1.124563,1.373408,0.836333,0.954332,0.618281,0.462596,0.570093,0.477637,-0.409658,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,8,1,1,0,0,0,0,4.044160,0.000000,0.000000,4.044160,0.052734,0,1,1.000000,-0.271581,0.000000,0.000000,41.000000,0.000000,0.006230,0.000000,0.063163,0.000000,0.377909,0.564815,0.481501,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,9,1,1,0,0,0,0,12.421521,12.421521,0.390564,0.000000,0.000000,1,0,0.000000,0.000000,0.984224,60.000000,0.000000,0.006897,0.000000,0.033317,0.000000,0.596951,0.000000,0.559633,0.482194,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,10,1,1,0,0,0,0,4.004918,4.004918,0.279175,0.000000,0.000000,1,0,0.000000,0.000000,0.984024,71.500000,0.000000,0.003940,0.000000,0.070350,0.000000,0.557878,0.000000,0.554545,0.485889,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,11,82,41,16,19,6,-105,35.841682,36.271549,3.583115,35.698391,5.442027,8,24,0.750000,-5.300991,1.284915,28.125000,27.062500,1.351071,1.217575,0.964833,0.963270,0.543599,0.469889,0.584507,0.528839,0.007964,-1,1 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24\240509_ola375DCR5281het_Tc15_16_24_w1a_tracks.bin,12,1,1,0,0,0,0,7.809949,7.809949,1.400269,0.000000,0.000000,1,0,0.000000,0.000000,0.660916,62.500000,0.000000,0.030884,0.000000,0.247156,0.000000,0.275306,0.000000,0.587413,0.527052,1.000000,0,0 
