Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,1,25,20,0,4,1,-90,37.249378,8.863235,0.843140,42.926605,20.432642,1,5,0.833333,-1.688282,0.106071,19.500000,41.900000,0.412700,0.806657,0.907981,0.908963,0.554540,0.518997,0.833333,0.842872,-0.657723,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,2,31,17,3,8,3,-132,41.748531,0.000000,0.000000,41.748531,7.351448,0,16,1.000000,-5.335495,0.000000,0.000000,38.781250,0.000000,0.961149,0.000000,0.930413,0.000000,0.537148,0.681818,0.527894,-1.000000,-1,1 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,3,233,170,37,22,4,-128,8.037451,6.815553,1.623726,9.298764,3.161849,32,31,0.492063,-16.924385,14.489319,12.750000,16.225806,0.429969,0.460333,0.780487,0.842574,0.531180,0.472619,0.552941,0.575332,-0.154100,-1,1 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,4,12,10,1,1,0,-22,15.905752,4.368870,0.620972,27.442635,8.302002,1,1,0.500000,-0.319399,0.256743,6.000000,34.000000,0.466500,0.771888,0.640669,0.956330,0.413723,0.489666,0.563218,0.573871,-0.725328,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,5,37,19,7,9,2,-349,98.647354,39.100830,20.239563,103.227859,28.439303,1,13,0.928571,-4.343678,0.535383,36.000000,81.730769,1.045980,1.174500,0.963030,0.966974,0.621556,0.516013,0.554455,0.483713,-0.450556,-2,2 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,6,2,2,0,0,0,0,2.123946,1.578871,-0.066895,2.669022,-0.005554,1,1,0.500000,-0.109730,0.802276,8.000000,24.500000,0.008517,0.010555,0.043154,0.096891,0.722272,0.668948,0.543689,0.493761,-0.256633,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,7,1,1,0,0,0,0,3.583486,3.583486,0.204285,0.000000,0.000000,1,0,0.000000,0.000000,0.307358,59.500000,0.000000,0.012776,0.000000,0.212124,0.000000,0.487472,0.000000,0.548077,0.489929,1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,8,10,7,3,0,0,-7,5.339013,0.000000,0.000000,5.339013,0.058594,0,1,1.000000,-0.014141,0.000000,0.000000,7.000000,0.000000,0.721659,0.000000,0.946169,0.000000,0.588066,0.542857,0.494168,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,9,1,1,0,0,0,0,6.499365,0.000000,0.000000,6.499365,-0.013184,0,1,1.000000,-0.042577,0.000000,0.000000,66.000000,0.000000,0.004536,0.000000,0.046060,0.000000,0.799500,0.537736,0.498083,-1.000000,0,0 
Z:\Malcom\Behavior\Analysis\240509_N2_ola375DCR5281het_Tc15_16_24\240509_ola375_Tc15_16_24\240509_ola375_Tc15_16_24_w1a_tracks.bin,10,1,1,0,0,0,0,8.509487,0.000000,0.000000,8.509487,0.732849,0,1,1.000000,-0.768539,0.000000,0.000000,101.500000,0.000000,0.008201,0.000000,0.097815,0.000000,0.699320,0.542056,0.495134,-1.000000,0,0 
