Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,1,241,143,31,59,8,37,31.449669,28.736795,9.527333,35.387714,10.404096,45,31,0.407895,-17.758116,24.607965,26.044444,31.322581,0.990716,0.942389,0.847743,0.817627,0.432614,0.516584,0.513158,0.516825,-0.103719,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,2,272,139,56,65,12,113,20.246294,17.823372,9.040886,24.232389,8.624835,51,31,0.378049,-18.602110,32.109447,20.245098,24.306452,0.868954,0.852881,0.947999,0.932879,0.467897,0.477278,0.487342,0.570442,-0.152393,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,3,54,35,8,10,1,2,18.710329,18.784801,8.994568,18.635857,11.087975,8,8,0.500000,-5.003038,3.779750,20.500000,19.562500,0.762591,0.880815,0.898374,0.915281,0.525940,0.490958,0.494253,0.563238,0.003980,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,4,128,57,20,42,9,100,21.789576,19.289516,9.673800,25.718245,9.409834,22,14,0.388889,-7.690795,12.617264,15.386364,23.821429,1.198491,1.029087,0.950627,0.922080,0.489109,0.440407,0.495238,0.563896,-0.142836,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,5,103,56,16,25,6,-22,11.602028,11.756869,6.212402,11.343959,7.212606,10,6,0.375000,-3.829718,6.704421,9.950000,9.750000,1.171211,1.196361,0.976739,0.945742,0.505317,0.473543,0.491150,0.566555,0.017874,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,6,284,134,52,75,23,111,33.396145,43.342991,18.321817,24.419718,13.787279,37,41,0.525641,-24.831482,21.147091,34.729730,18.500000,1.088022,1.210796,0.896538,0.921839,0.472389,0.509381,0.509868,0.579037,0.279258,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,7,278,131,68,60,19,41,28.060089,34.907917,15.390649,22.700916,9.582841,36,46,0.560976,-25.213024,17.260626,29.083333,20.597826,0.988911,0.971577,0.907827,0.928033,0.465637,0.492299,0.533679,0.561709,0.211895,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,8,174,84,38,38,14,-179,20.389399,17.536413,7.319331,22.487183,9.985750,25,34,0.576271,-18.141077,11.782210,15.040000,20.029412,1.089841,1.045783,0.948564,0.935420,0.496689,0.469623,0.537079,0.549973,-0.123696,-1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,9,230,126,44,50,10,454,34.666496,32.971237,16.949091,37.238609,10.657033,44,29,0.397260,-16.123472,31.695621,28.659091,32.155172,0.958649,0.852620,0.869963,0.833108,0.461085,0.467921,0.527027,0.548720,-0.060780,2,2 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316a_N2_CGC_20C_d8C_H\210316a_N2_CGC_20C_d8C_H_w1a_tracks.bin,10,70,43,9,15,3,77,12.320428,12.553375,7.244863,9.525040,5.466064,12,1,0.076923,-0.679335,7.231597,11.041667,5.000000,0.996380,1.682900,0.875348,0.883408,0.471593,0.709895,0.523540,0.549150,0.137163,0,0 
