Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,1,74,27,21,20,6,395,104.918861,122.295074,26.478170,78.854538,14.867584,24,16,0.400000,-8.178921,9.185274,90.979167,59.937500,1.148297,1.050098,0.853924,0.894972,0.494514,0.492723,0.550000,0.418133,0.215961,2,2 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,2,248,74,60,82,32,157,28.057930,25.338715,9.090175,31.032070,6.873636,35,32,0.477612,-17.183447,21.843603,22.528571,27.921875,0.823023,0.820085,0.898887,0.910033,0.535771,0.501047,0.485981,0.480011,-0.100998,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,3,181,60,43,56,22,252,30.073099,33.661037,10.169337,22.897224,5.932190,36,18,0.333333,-10.491521,18.231003,32.388889,24.472222,0.851413,0.776111,0.901848,0.941906,0.468265,0.530019,0.478261,0.474927,0.190314,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,4,184,64,43,58,19,85,52.380608,52.832165,17.003775,51.838734,17.933266,42,35,0.454545,-16.842329,20.965273,36.166667,33.357143,1.297203,1.332002,0.922970,0.885217,0.451602,0.517704,0.487395,0.463581,0.009491,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,5,107,41,23,33,10,-207,17.105610,10.619171,5.163907,21.302717,15.072747,11,17,0.607143,-12.220620,4.705930,11.181818,18.882353,0.885620,0.994228,0.941269,0.963456,0.562297,0.513216,0.492481,0.464485,-0.334678,-1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,6,18,7,9,2,0,-44,20.276150,41.635139,21.993958,14.936403,9.989578,2,8,0.800000,-5.109189,1.330844,61.000000,29.062500,0.549104,0.535839,0.835860,0.978918,0.378539,0.465486,0.507246,0.456460,0.471946,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,7,129,36,44,37,12,72,69.259506,60.663151,18.170144,81.967155,24.409445,34,23,0.403509,-8.758652,15.468284,41.955882,58.847826,1.153238,1.163073,0.908151,0.866111,0.476167,0.490125,0.486486,0.470537,-0.149365,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,8,61,22,16,19,4,68,49.136745,53.300426,9.463142,42.323448,11.075872,18,11,0.379310,-4.752826,6.121360,38.666667,30.954545,1.194148,1.233818,0.899718,0.955133,0.545863,0.506376,0.488950,0.473242,0.114793,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,9,258,99,50,77,32,-127,35.003510,23.153893,8.313000,51.197990,15.713806,41,30,0.422535,-20.938524,24.123800,19.609756,42.883333,0.916295,0.802029,0.938669,0.847783,0.477112,0.512659,0.482679,0.483036,-0.377181,-1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316f_ola375_F2_5_20C_d8C_H\210316f_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,10,307,115,76,90,26,-65,19.524677,20.906836,8.797465,18.469210,9.125795,42,55,0.567010,-34.179462,24.070349,18.678571,17.345455,0.948028,0.916553,0.893758,0.918618,0.508099,0.506678,0.503774,0.476932,0.061906,0,0 
