Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,1,269,80,70,84,35,-221,28.855614,28.863403,12.908136,28.850250,11.885926,42,61,0.592233,-30.908409,23.656721,20.773810,21.409836,1.227845,1.263894,0.902026,0.946908,0.502021,0.507828,0.543689,0.526473,0.000228,-1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,2,194,53,76,45,20,-51,34.330761,45.169960,8.276306,24.905369,7.827164,40,46,0.534884,-21.101713,14.096839,35.500000,22.260870,1.030324,1.078031,0.902038,0.940049,0.510642,0.514577,0.529101,0.507694,0.289183,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,3,97,29,33,27,8,84,29.719908,28.151304,8.076641,31.680668,6.775104,25,20,0.444444,-5.807777,11.647404,18.320000,21.275000,1.425469,1.309772,0.969052,0.952089,0.465267,0.520772,0.508547,0.509474,-0.058988,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,4,19,7,6,4,2,-46,27.453371,52.257351,5.611084,23.909946,7.796596,1,7,0.875000,-4.021241,0.441868,63.000000,35.714286,0.196387,0.580841,0.236759,0.966175,0.645433,0.470862,0.520661,0.504528,0.372173,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,5,246,78,78,64,26,121,23.193899,24.154766,12.387860,22.047060,12.107355,37,31,0.455882,-17.952606,23.642265,20.864865,16.241935,1.174670,1.231318,0.881350,0.944057,0.505399,0.459185,0.512903,0.502984,0.045620,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,6,187,66,50,51,20,-185,40.529343,40.489899,14.948824,40.556595,14.138115,38,55,0.591398,-27.606012,22.748072,29.657895,27.854545,1.223434,1.298902,0.898490,0.885120,0.496626,0.543783,0.521092,0.496948,-0.000823,-1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,7,258,75,88,66,29,-95,24.218658,24.251917,9.643669,24.192278,9.518921,46,58,0.557692,-30.988419,26.499769,22.782609,20.189655,0.973107,1.086505,0.946812,0.970159,0.494571,0.502762,0.530572,0.494422,0.001231,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,8,257,84,77,74,22,201,21.985035,23.004688,7.627548,20.534859,6.338344,64,45,0.412844,-17.232386,28.866539,21.765625,19.900000,1.024122,0.980179,0.951962,0.955117,0.488609,0.485141,0.514610,0.504175,0.056726,1,1 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,9,24,18,2,4,0,-29,11.384489,7.122934,1.522018,18.202976,7.934619,8,5,0.384615,-3.805315,5.037174,16.875000,44.000000,0.251520,0.330210,0.513559,0.603220,0.542757,0.460950,0.511924,0.507365,-0.437498,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,10,196,63,58,57,18,64,39.982159,41.532787,10.283486,38.670090,7.596630,44,52,0.541667,-16.257378,17.391874,27.761364,26.894231,1.371135,1.281485,0.937865,0.924508,0.463847,0.500974,0.511724,0.509446,0.035693,0,0 
Y:\Gus\Ttx\Analysis\210316_Figs_1_&_2\210316g_DCR5283_inx1gk_20C_d8C_H\210316g_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,11,211,58,79,50,24,92,34.003391,28.717155,9.061503,39.391293,7.221842,53,52,0.495238,-16.485701,21.890747,20.566038,28.932692,1.374406,1.163930,0.957784,0.928165,0.489751,0.499754,0.504819,0.526719,-0.156723,0,0 
