Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,1,132,52,41,33,6,307,50.171631,56.859066,12.940426,39.995102,9.033537,35,23,0.396552,-7.619699,12.218840,42.257143,30.760870,1.204596,1.186615,0.923674,0.926007,0.500591,0.482014,0.517241,0.428209,0.174117,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,2,66,22,17,20,7,-4,28.683699,32.083961,4.292489,21.397434,6.142439,15,7,0.318182,-2.968264,3.214100,23.933333,16.142857,1.357184,1.181340,0.945288,0.900925,0.479784,0.466191,0.525000,0.461231,0.199818,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,3,186,70,42,50,24,-162,14.008040,11.297151,3.807388,16.194241,6.778041,25,31,0.553571,-18.252695,13.694974,15.540000,20.064516,0.655850,0.835564,0.855223,0.861771,0.453975,0.535415,0.544118,0.456461,-0.178132,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,4,215,81,61,56,17,-82,38.077938,31.951756,15.259736,43.008766,13.238704,33,41,0.554054,-21.309002,21.047235,27.000000,35.329268,1.001320,1.010847,0.915532,0.944110,0.483663,0.481173,0.557143,0.548233,-0.147504,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,5,286,130,71,58,27,21,18.004704,17.831213,7.755109,18.192261,7.258004,40,37,0.480519,-18.264128,22.523497,18.237500,13.459459,0.910870,1.235596,0.855826,0.896410,0.509643,0.477988,0.543554,0.542144,-0.010023,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,6,51,21,11,15,4,-100,12.235453,4.592335,4.101898,14.587182,9.344342,4,13,0.764706,-9.399442,3.409124,6.000000,16.000000,0.772767,0.899777,0.986357,0.976316,0.525333,0.557431,0.552632,0.540745,-0.521121,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,7,73,31,11,23,8,-69,47.756481,49.625122,14.331155,45.700977,20.308862,11,10,0.476190,-5.703159,6.105261,26.545455,21.700000,1.632787,1.804706,0.917118,0.898815,0.513071,0.523277,0.544615,0.534136,0.041165,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,8,156,44,56,39,17,-227,58.713966,75.829765,16.922437,47.453575,15.907307,25,38,0.603175,-22.275290,8.968930,58.680000,36.368421,1.153752,1.131106,0.899215,0.889712,0.427353,0.530828,0.564433,0.535890,0.230171,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,9,124,40,32,36,16,-264,39.939823,38.269310,8.462158,40.803886,13.565893,15,29,0.659091,-12.278450,6.484283,25.066667,24.448276,1.343211,1.662012,0.918235,0.962404,0.547324,0.525196,0.562500,0.511953,-0.032054,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319b_ola375_F2_5_20C_d8C_H\210319b_ola375_F2_5_20C_d8C_H_w1a_tracks.bin,10,113,45,27,30,11,41,40.087379,32.354126,15.410458,45.803253,9.331930,17,23,0.575000,-8.404467,9.116714,26.147059,31.652174,1.109006,1.339993,0.926944,0.962581,0.523177,0.526598,0.555085,0.520934,-0.172078,0,0 
