Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,1,45,17,21,6,1,-17,12.449338,8.910928,3.917033,19.083858,10.651550,15,8,0.347826,-5.316765,11.147927,27.300000,31.625000,0.313039,0.435781,0.838014,0.769201,0.543691,0.460506,0.260870,0.633683,-0.363387,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,2,105,47,16,34,8,131,38.344395,42.066841,16.875893,31.519913,19.518097,22,12,0.352941,-5.784406,11.968747,35.818182,27.833333,0.997541,0.973906,0.945265,0.880078,0.538988,0.485808,0.298246,0.506202,0.143326,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,3,261,88,69,69,35,-248,23.941990,19.887180,7.686301,27.665794,12.734103,45,49,0.521277,-29.326349,25.170744,19.522222,24.816327,0.895135,0.977811,0.933725,0.955027,0.486150,0.504835,0.403974,0.495648,-0.163578,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,4,87,33,27,23,4,227,69.097366,72.591324,19.901270,63.274094,19.952962,25,15,0.375000,-6.655485,10.677600,60.140000,53.166667,1.075418,1.045102,0.909955,0.938491,0.512226,0.458465,0.413613,0.487630,0.068577,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,5,216,78,52,63,23,-85,39.608009,41.611618,11.051614,37.661644,12.625084,34,35,0.507246,-18.622120,13.551144,29.500000,27.328571,1.313416,1.153898,0.934543,0.909299,0.485038,0.466028,0.457692,0.509807,0.049827,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,6,23,4,14,3,2,150,26.858948,32.078846,16.262917,7.719331,6.627075,11,3,0.214286,-2.498202,8.393860,36.272727,17.666667,0.761905,0.564084,0.971600,1.011721,0.520562,0.504308,0.448905,0.506406,0.612076,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,7,70,31,18,16,5,-129,24.458357,18.681789,4.056343,31.060148,13.634147,16,14,0.466667,-7.610929,5.762473,12.281250,18.392857,1.374355,1.494874,0.955520,0.948291,0.547653,0.475714,0.453947,0.516652,-0.248852,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,8,112,36,33,30,13,-108,29.153603,21.293169,8.688175,34.768196,12.640863,15,21,0.583333,-11.029030,9.149107,15.533333,22.738095,1.199631,1.393480,0.917884,0.967155,0.506185,0.505699,0.458824,0.509822,-0.240362,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,9,118,64,14,31,9,-10,47.885841,46.931137,14.584453,48.611427,11.583892,19,25,0.568182,-12.901436,9.586107,36.368421,35.840000,0.988578,0.994286,0.813332,0.851917,0.448653,0.508458,0.471354,0.501052,-0.017587,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319c_DCR5281_inx1tm_oc6_20C_d8C_H\210319c_DCR5281_inx1tm_oc6_20C_d8C_H_w1a_tracks.bin,10,48,15,8,18,7,-122,27.145233,28.958946,8.679260,26.108826,12.800441,8,14,0.636364,-7.423726,3.774785,20.125000,17.535714,1.222386,1.523837,0.862850,0.968128,0.508819,0.495237,0.482759,0.500125,0.051757,-1,1 
