Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,1,108,31,38,29,10,155,13.790509,14.201141,7.956034,12.382631,8.389631,24,7,0.225806,-5.126729,15.785393,16.791667,14.642857,0.789511,0.764380,0.958657,0.791211,0.503177,0.394644,0.225806,0.465797,0.068407,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,2,288,45,120,84,39,38,22.352753,22.802229,4.723879,21.837729,4.263870,55,48,0.466019,-19.999393,19.503563,21.700000,20.114583,0.946124,0.905131,0.965482,0.952909,0.499898,0.483592,0.432836,0.609234,0.021606,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,3,114,31,48,23,12,-150,41.474808,38.082466,7.289081,44.997620,14.183364,27,26,0.490566,-8.834756,9.673464,31.888889,31.057692,1.071977,1.279321,0.920095,0.932584,0.501737,0.478247,0.459893,0.568390,-0.083235,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,4,230,76,66,64,24,-108,27.113363,26.693419,5.707837,27.401562,5.389304,35,51,0.593023,-24.734982,14.558354,24.028571,25.254902,0.817452,0.845865,0.813368,0.855324,0.524412,0.478455,0.494505,0.537644,-0.013091,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,5,213,62,70,57,24,60,23.271660,23.797855,5.773702,22.601959,4.844323,42,33,0.440000,-11.991951,16.671041,20.761905,19.606061,1.013191,0.950783,0.898578,0.903597,0.490132,0.483304,0.494253,0.534345,0.025774,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,6,193,63,62,46,22,75,48.394501,38.896507,13.334882,57.660835,11.646071,40,41,0.506173,-18.698612,17.754877,28.212500,38.097561,1.190485,1.296846,0.920276,0.935048,0.518281,0.474223,0.501166,0.524228,-0.194334,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,7,111,29,34,32,16,54,24.141779,17.374584,6.647185,38.196720,9.467623,27,13,0.325000,-2.446712,11.355541,14.259259,27.538462,1.216801,1.284133,0.957208,0.966734,0.498171,0.530678,0.481876,0.539417,-0.374692,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,8,75,19,25,21,10,-70,24.564253,38.110477,18.642354,19.484421,10.120056,6,16,0.727273,-8.287928,3.616138,20.166667,13.781250,1.496470,1.239938,0.825439,0.903651,0.452296,0.474729,0.492872,0.536094,0.323398,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,9,133,33,63,26,11,-68,44.041214,42.636204,11.041829,45.318489,11.860170,30,33,0.523810,-13.392468,11.587661,34.866667,33.439394,1.181786,1.218305,0.945791,0.917575,0.511544,0.478086,0.492780,0.541073,-0.030496,0,0 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,10,243,57,83,64,39,418,13.222171,13.829314,8.252300,11.461457,5.927512,58,20,0.256410,-11.319057,35.723866,15.000000,11.625000,0.895495,0.992637,0.956304,0.990282,0.487259,0.506549,0.468354,0.549470,0.093625,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,11,342,117,92,96,37,-146,18.846622,19.074345,5.998064,18.666649,6.843764,49,62,0.558559,-27.527714,25.630194,16.836735,14.524194,1.083664,1.191269,0.903699,0.953660,0.519790,0.490458,0.479139,0.543361,0.010802,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,12,170,51,53,46,20,-135,37.530869,34.157299,10.248240,40.699982,12.127190,31,33,0.515625,-15.185479,14.021688,20.645161,23.469697,1.413969,1.451826,0.961262,0.921407,0.526682,0.467203,0.484511,0.561070,-0.087402,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,13,236,55,90,59,32,486,18.143909,20.599710,9.014983,10.893447,4.758545,62,21,0.253012,-12.224167,34.385311,22.443548,13.095238,0.875214,0.762567,0.967917,0.937018,0.479374,0.516054,0.468539,0.559425,0.308202,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,14,242,116,48,59,19,418,33.825054,39.016266,10.518502,21.862696,6.562879,53,23,0.302632,-13.373274,28.545631,33.292453,19.152174,0.924701,0.836685,0.796169,0.813780,0.469427,0.543641,0.466874,0.550514,0.281765,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,15,81,29,29,16,7,194,18.776485,23.387848,10.699518,10.322320,5.916361,22,12,0.352941,-6.090652,10.931473,22.250000,12.083333,1.023717,0.865628,0.964089,0.931529,0.465377,0.474986,0.465000,0.549830,0.387584,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,16,254,82,82,65,25,167,19.334656,21.410982,5.157404,15.537945,3.619221,64,35,0.353535,-12.354780,22.894506,18.484375,14.871429,1.061772,0.870099,0.943319,0.875516,0.505404,0.492714,0.461328,0.551286,0.158950,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,17,239,78,95,45,21,242,27.499842,28.670658,5.795221,25.537931,3.794523,62,37,0.373737,-9.925118,19.245794,23.637097,20.959459,1.106423,1.081882,0.954472,0.944585,0.490185,0.502020,0.461603,0.554360,0.057790,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,18,272,95,70,78,29,156,24.099792,29.072496,6.901433,16.842331,4.256292,54,37,0.406593,-13.681343,20.156612,25.527778,15.135135,1.057534,1.030061,0.962552,0.956372,0.490178,0.472216,0.463150,0.545897,0.266366,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319d_DCR5283_inx1gk_20C_d8C_H\210319d_DCR5283_inx1gk_20C_d8C_H_w1a_tracks.bin,19,211,78,69,51,13,491,37.194679,23.673275,12.518066,77.758904,15.308289,60,20,0.250000,-8.932890,40.151115,19.016667,50.375000,1.027207,1.050159,0.922759,0.812869,0.496576,0.379447,0.451424,0.550078,-0.533220,2,2 
