Expt,Track,# Sharp Turns,Omega Turns,Blip Turns,Reversals,Second Reversals,Distance Traveled,Average Run Length,Positive Average Run Length,Positive Average X Displacement,Negative Average Run Length,Negative Average X Displacement,Positive Run Count,Negative Run Count,Fraction Neg Runs,Negative Bias Count,Positive Bias Count,posTimeAvg,negTimeAvg,posVelocityAvg,negVelocityAvg,posCurveIndexAvg,negCurveIndexAvg,posWVIAvg,negWVIAvg,StartCountBias,StartLengthBias,TTXI,TTXV,absTTXV
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,1,165,88,27,42,8,451,28.406248,34.028000,15.753582,17.724926,7.940305,38,20,0.344828,-10.255780,26.285578,26.381579,18.575000,1.128511,0.790899,0.889785,0.812353,0.472838,0.481585,0.413793,0.353268,0.315017,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,2,169,85,35,39,10,528,26.287983,31.448605,21.294542,17.113546,8.852210,32,18,0.360000,-11.248638,26.509359,22.328125,14.333333,1.134333,1.096168,0.900241,0.868058,0.435673,0.580486,0.370370,0.466367,0.295190,3,3 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,3,270,133,54,70,13,554,35.411369,40.427597,21.212134,26.762712,17.639777,50,29,0.367089,-18.816599,30.986700,29.450000,22.275862,1.151535,1.009241,0.899173,0.909707,0.466196,0.461308,0.427807,0.475699,0.203376,3,3 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,4,218,112,37,53,16,182,31.935860,28.936489,14.975952,35.823940,13.237440,35,27,0.435484,-15.459521,19.118402,18.914286,23.222222,1.379038,1.373672,0.941984,0.906896,0.486536,0.521290,0.433735,0.462798,-0.106353,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,5,145,76,28,34,7,-164,29.375938,25.072309,10.631342,33.894745,17.225739,21,20,0.487805,-12.036620,11.757182,19.738095,28.025000,1.303870,1.054926,0.936469,0.842144,0.494710,0.472878,0.441379,0.479572,-0.149616,-1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,6,103,63,9,25,6,234,27.455282,28.639162,14.054288,24.657021,7.941218,26,11,0.297297,-7.243719,17.047266,22.634615,20.681818,1.067828,1.052888,0.837390,0.847408,0.460136,0.405809,0.449541,0.468305,0.074717,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,7,110,69,9,30,2,349,32.888718,45.760777,28.927598,14.653297,9.008626,17,12,0.413793,-7.226213,13.313862,28.088235,9.750000,1.365573,1.315973,0.851226,0.903924,0.380585,0.423417,0.466292,0.466727,0.514904,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,8,211,105,42,50,14,429,42.624653,41.540051,20.344035,44.948799,18.578183,45,21,0.318182,-10.955556,27.455009,32.444444,32.000000,1.065819,1.169659,0.920540,0.885317,0.444150,0.474025,0.447867,0.476332,-0.039413,2,2 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,9,244,115,64,48,17,261,22.549524,21.108812,12.109774,24.510494,9.549578,49,36,0.423529,-19.964663,33.845036,22.040816,27.222222,0.822082,0.702982,0.933313,0.835577,0.478621,0.519588,0.443787,0.480384,-0.074567,1,1 
Y:\Gus\Ttx\Analysis\210319_Figs_1_&_2\210319e_N2_CGC_20C_d8C_H\210319e_N2_CGC_20C_d8C_H_w1a_tracks.bin,10,244,118,49,56,21,466,30.671371,36.421104,13.441171,17.974037,7.507273,53,24,0.311688,-11.954856,33.135876,29.481132,16.625000,1.055954,0.938643,0.893266,0.904560,0.495977,0.462110,0.436644,0.482120,0.339131,2,2 
